TK.3124..HNE,TK.3124..HNN,TK.3124..HNZ,datetime
0.012372706715007106,-0.002709826508929478,0.0076113165269243175,2023-02-06T01:18:02.210000Z
0.012803134812486494,-0.00350949690246052,0.011955423552744244,2023-02-06T01:18:02.220000Z
0.012997570894858167,-0.005911745774449799,0.01069813655892661,2023-02-06T01:18:02.230000Z
0.012905537762711895,-0.007790010165781591,0.003004468533982722,2023-02-06T01:18:02.240000Z
0.012445226854457923,-0.010458977616863938,-0.005128793141950711,2023-02-06T01:18:02.250000Z
0.011306531517148465,-0.012021796883156062,-0.008422175098640823,2023-02-06T01:18:02.260000Z
0.010762055427293771,-0.01445670474833581,-0.004123875179762229,2023-02-06T01:18:02.270000Z
0.010472056042139254,-0.01571393974163018,0.002721212580643135,2023-02-06T01:18:02.280000Z
0.011014316223837712,-0.016907323917293805,0.006588182214616858,2023-02-06T01:18:02.290000Z
0.01111873248764022,-0.01537615346339504,0.0033877814488027123,2023-02-06T01:18:02.300000Z
0.011206772390626188,-0.01250693062546876,-0.004572301619210902,2023-02-06T01:18:02.310000Z
0.01017310223159341,-0.006919721389685655,-0.01240821988756247,2023-02-06T01:18:02.320000Z
0.00879355074022717,-0.002312211099649353,-0.014385821517115774,2023-02-06T01:18:02.330000Z
0.007481598438064276,0.001451568602766011,-0.00934065905828718,2023-02-06T01:18:02.340000Z
0.006710717938265201,0.0015450696818295878,0.0012235341305636396,2023-02-06T01:18:02.350000Z
0.0068295677628387496,0.0010025918970250594,0.011555240231347304,2023-02-06T01:18:02.360000Z
0.007978634642738626,-0.0014511281215045333,0.017053869037146015,2023-02-06T01:18:02.370000Z
0.00973985643318846,-0.0020418172714812667,0.015109605014442754,2023-02-06T01:18:02.380000Z
0.011195242562954703,-0.0020241465188230974,0.008605943346999581,2023-02-06T01:18:02.390000Z
0.01125192647498619,0.0005042862878810525,0.000570939618933979,2023-02-06T01:18:02.400000Z
0.010463680002527644,0.0022175701316774223,-0.0057048795555069715,2023-02-06T01:18:02.410000Z
0.008942555129844001,0.004367792134587552,-0.008590650857633154,2023-02-06T01:18:02.420000Z
0.007371677613253796,0.004832084580459849,-0.006510612632294196,2023-02-06T01:18:02.430000Z
0.006267476118465369,0.00570989911541474,-0.0002779278688089581,2023-02-06T01:18:02.440000Z
0.006380442194509538,0.006141672298007204,0.006658064742049164,2023-02-06T01:18:02.450000Z
0.007418083147830507,0.008247725344583403,0.010598072040477953,2023-02-06T01:18:02.460000Z
0.008120811670529594,0.009529502664996704,0.010970639182805518,2023-02-06T01:18:02.470000Z
0.008448078073575034,0.011195579660021139,0.008095389739006581,2023-02-06T01:18:02.480000Z
0.008338977012295053,0.010998306307981843,0.003151161790532424,2023-02-06T01:18:02.490000Z
0.008651027976242318,0.010152752868484381,-0.00326733883723316,2023-02-06T01:18:02.500000Z
0.00888057182852305,0.007426234315524472,-0.009307805918853999,2023-02-06T01:18:02.510000Z
0.009912926763181987,0.004550526117580115,-0.013213467538158134,2023-02-06T01:18:02.520000Z
0.011063276891841783,0.000711522784404122,-0.011698874625397464,2023-02-06T01:18:02.530000Z
0.012495105582295734,-0.0021092274619892203,-0.0038949858203287517,2023-02-06T01:18:02.540000Z
0.013963294290441372,-0.00426073547461606,0.009252555594835921,2023-02-06T01:18:02.550000Z
0.01557446553026809,-0.0044637137580722805,0.022408530028448153,2023-02-06T01:18:02.560000Z
0.01615280162762818,-0.002407389804359211,0.03012375306694494,2023-02-06T01:18:02.570000Z
0.015082664751857154,0.00162525897067299,0.028004214742763992,2023-02-06T01:18:02.580000Z
0.012451363740280705,0.00613011396832348,0.017033015143012975,2023-02-06T01:18:02.590000Z
0.009529319475268406,0.010085331837293316,0.0012397669750489541,2023-02-06T01:18:02.600000Z
0.007127652848687859,0.013015163504375916,-0.008986005432581467,2023-02-06T01:18:02.610000Z
0.006007093325280046,0.013637182045220866,-0.00825603139781214,2023-02-06T01:18:02.620000Z
